City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,meulaboh,4.1363,96.1285,24.5,87,100,1.37,ID,1675885435
84,west bay,19.3667,-81.4167,28.89,76,40,7.2,KY,1675885435
85,katsuura,35.1333,140.3,7.01,64,26,7.26,JP,1675885437
86,cap-aux-meules,47.3821,-61.8597,-1.97,80,100,6.69,CA,1675885437
87,yulara,-25.2406,130.9889,27.09,43,5,3.07,AU,1675885438
88,mandera,3.9366,41.867,30.04,28,42,5.12,KE,1675885438
89,vao,-22.6667,167.4833,25.76,82,100,9.14,NC,1675885439
90,honiara,-9.4333,159.95,25.84,87,100,1.86,SB,1675885439
91,hithadhoo,-0.6,73.0833,27.38,74,35,3.6,MV,1675885440
92,nikolskoye,59.7035,30.7861,1.0,93,100,3.26,RU,1675885251
93,xuddur,4.1213,43.8894,26.03,37,9,4.45,SO,1675885441
94,solnechnyy,50.7214,136.6319,-27.84,98,100,1.3,RU,1675885441
95,bredasdorp,-34.5322,20.0403,19.9,77,0,7.03,ZA,1675885442
96,dikson,73.5069,80.5464,-16.02,77,100,5.44,RU,1675885444
97,hobyo,5.3505,48.5268,24.78,86,6,5.43,SO,1675885445
98,bluff,-46.6,168.3333,9.33,65,72,10.21,NZ,1675885447
99,zhezkazgan,47.8043,67.7144,-15.78,94,97,7.02,KZ,1675885196
100,port lincoln,-34.7333,135.8667,18.53,81,0,4.38,AU,1675885451
101,sandpoint,48.2766,-116.5533,4.47,74,75,3.6,US,1675885340
102,galle,6.0367,80.217,24.23,85,26,1.58,LK,1675885453
103,bafoulabe,13.8065,-10.8321,31.7,12,0,2.13,ML,1675885456
104,richards bay,-28.783,32.0377,23.21,93,94,5.03,ZA,1675885457
105,badhni kalan,30.6833,75.2833,10.98,57,66,2.16,IN,1675885459
106,mbini,1.574,9.6134,26.75,82,27,2.77,GQ,1675885462
107,ruidoso,33.3317,-105.673,4.42,34,0,7.2,US,1675885465
108,shelburne,44.0787,-80.2041,3.42,98,22,4.05,CA,1675885467
109,talnakh,69.4865,88.3972,-23.22,96,100,3.99,RU,1675885471
110,nantucket,41.2835,-70.0995,9.08,49,20,5.66,US,1675885343
111,lebu,-37.6167,-73.65,18.53,76,3,5.53,CL,1675885475
112,teya,60.3778,92.6267,-18.02,99,100,1.32,RU,1675885476
113,hofn,64.2539,-15.2082,-4.99,58,40,2.57,IS,1675885476
114,jackson,42.4165,-122.8345,12.08,72,0,2.06,US,1675885346
115,jiaonan,35.8786,119.9753,2.69,61,100,3.78,CN,1675885477
116,upernavik,72.7868,-56.1549,-32.32,84,15,2.49,GL,1675885477
117,naron,43.5167,-8.1528,12.0,85,0,5.26,ES,1675885478
118,kidderminster,52.3882,-2.25,5.24,82,80,2.96,GB,1675885478
119,atuona,-9.8,-139.0333,26.19,80,19,9.29,PF,1675885479
120,bilma,18.6853,12.9164,21.77,15,5,3.54,NE,1675885479
121,ust-tsilma,65.441,52.1498,-3.47,88,100,4.77,RU,1675885480
122,airai,-8.9266,125.4092,15.25,95,99,0.56,TL,1675885480
123,santa cruz,-17.8,-63.1667,32.03,58,40,5.14,BO,1675885439
124,panzhihua,26.5851,101.7128,8.65,51,0,0.54,CN,1675885481
125,lompoc,34.6391,-120.4579,22.23,39,0,1.54,US,1675885484
126,port elizabeth,-33.918,25.5701,20.73,83,0,1.54,ZA,1675885485
127,kodiak,57.79,-152.4072,-7.27,68,0,3.09,US,1675885417
128,huarmey,-10.0681,-78.1522,25.48,73,43,4.91,PE,1675885485
129,east london,-33.0153,27.9116,21.56,81,100,2.04,ZA,1675885486
130,saint-joseph,-21.3667,55.6167,25.21,82,36,5.48,RE,1675885486
131,saint-philippe,-21.3585,55.7679,25.77,84,59,5.44,RE,1675885487
132,beira,-19.8436,34.8389,25.22,90,100,2.48,MZ,1675885487
133,kampong thum,12.7111,104.8887,25.21,71,50,2.42,KH,1675885488
134,pinsk,52.1229,26.0951,-6.21,89,70,1.8,BY,1675885467
135,tefe,-3.3542,-64.7114,30.06,79,40,2.06,BR,1675885488
136,launceston,-41.45,147.1667,13.67,86,100,3.09,AU,1675885489
137,longyearbyen,78.2186,15.6401,-4.09,80,75,7.2,SJ,1675885489
138,palu,-0.8917,119.8707,23.83,91,100,0.99,ID,1675885490
139,narsaq,60.9167,-46.05,-11.88,95,100,3.87,GL,1675885490
140,tuatapere,-46.1333,167.6833,9.04,85,94,4.52,NZ,1675885491
141,lagoa,39.05,-27.9833,13.6,61,52,6.05,PT,1675885491
142,esna,25.2934,32.554,12.01,34,96,4.05,EG,1675885492
143,vanavara,60.34,102.2797,-17.68,99,100,1.01,RU,1675885492
144,cayenne,4.9333,-52.3333,28.02,78,75,6.17,GF,1675885493
145,hualmay,-11.0964,-77.6139,25.65,70,48,5.2,PE,1675885493
146,torbay,47.6666,-52.7314,0.77,96,100,8.23,CA,1675885493
147,svobodnyy,51.4,128.1333,-33.19,100,14,0.42,RU,1675885494
148,hasaki,35.7333,140.8333,4.22,51,4,8.92,JP,1675885494
149,kaitangata,-46.2817,169.8464,9.41,75,66,5.9,NZ,1675885494
150,ratnagiri,16.9833,73.3,23.79,49,21,1.48,IN,1675885495
151,jacksonville,30.3322,-81.6556,28.36,54,75,4.63,US,1675885415
152,ribeira grande,38.5167,-28.7,13.22,62,20,3.13,PT,1675885426
153,bayir,37.2687,28.2167,2.29,58,5,3.05,TR,1675885495
154,vaini,-21.2,-175.2,26.09,94,75,1.54,TO,1675885496
155,tromso,69.6496,18.957,5.01,75,75,17.49,NO,1675885496
156,adrar,20.5022,-10.0711,20.84,15,100,3.77,MR,1675885496
157,pevek,69.7008,170.3133,-33.58,100,100,3.43,RU,1675885497
158,necochea,-38.5473,-58.7368,23.93,54,0,4.6,AR,1675885497
159,vila franca do campo,37.7167,-25.4333,13.23,69,88,4.85,PT,1675885498
160,russell,32.3502,-85.1999,26.22,47,40,3.09,US,1675885498
